Surface_Area_Current,Depth_Current,Breadth_Current,Inflow_Amount,Surface_Area_Target,Depth_Target,Breadth_Target,Condition,Maintenance_Frequency,Maintenance_Suggestions,Prev_Maintenance_Cost,Estimated_Cost
187.8955193048339,7.325677452587346,17.72457124414429,1.118642650215534,190.13280460526497,9.003641427910647,18.843213894359824,High Erosion,Moderate (Every 2-3 Years),Strengthen shores to prevent erosion.,391218.43816806015,391638.38603083487
475.4064388985482,28.91095842056666,28.580443564163904,0.2300077989817166,475.8664544965116,29.255970119039237,28.81045136314562,High Erosion,Moderate (Every 2-3 Years),Strengthen shores to prevent erosion.,61064.11240646068,61067.762877782785
366.2649769638911,29.328580472454792,18.524037943397936,0.9890336319400069,368.2430442277711,30.8121309203648,19.513071575337943,High Erosion,Moderate (Every 2-3 Years),Strengthen shores to prevent erosion.,59955.59818804877,60245.83629625169
299.7305836143213,33.6843455674193,9.781550841948505,2.956903648751492,305.6443909118243,38.11970104054654,12.738454490699997,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,195624.59861729355,203380.50885720854
78.85330158077582,37.67411001751977,12.94295123895948,2.16498029790324,83.1832621765823,40.921580464374635,15.10793153686272,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,269889.43568209955,272933.7052070115
78.84126564776513,48.91334357581406,46.61709803523985,4.474091384277177,87.78944841631949,55.62448065222983,51.09118941951702,High Sedimentation,High (Every Year),Increase depth by dredging and use sediment for shore strengthening.,396683.33801350696,423551.36686285463
29.983722471931532,28.23351567355379,21.427038122173457,4.1054734525183605,38.19466937696825,34.391725852331334,25.532511574691817,High Sedimentation,High (Every Year),Increase depth by dredging and use sediment for shore strengthening.,357482.91947292734,378242.1379328092
433.22189674169266,19.533041282356066,37.06271624375947,1.7749050233195924,436.77170678833187,22.195398817335455,38.83762126707906,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,250656.21786953675,252333.65638413353
300.9563908598612,40.78337876459167,50.83830981463083,1.3711748238133334,303.69874050748786,42.84014100031167,52.20948463844417,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,173131.99982674964,173905.39195316998
354.3282163202267,17.187451306793342,69.34908803430716,1.960492800019608,358.24920192026593,20.128190506822754,71.30958083432677,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,498706.02507097,500966.5901258964
11.271662653605421,24.753713931753623,4.891901844268794,2.9924452183225583,17.256553090250538,29.24238175923746,7.8843470625913525,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,241781.58600618783,249820.54624700514
484.98501622883515,8.530537160401968,80.14162949199522,1.4135118400320938,487.81203990889935,10.65080492045011,81.55514133202732,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,253124.16094835397,253971.42661220138
416.38887775941043,6.1407834536955885,63.16213855959987,3.158329648460757,422.70553705633193,10.878277926386723,66.32046820806062,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,123630.71953625113,133082.06475372694
106.9572162284598,48.31917866050663,9.094144162938319,2.1061170957370785,111.16945041993395,51.478354304112244,11.200261258675397,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,407664.2969374682,410466.94648076297
91.73065863634321,42.61910542304926,87.48428378657094,2.8050311861747033,97.34072100869261,46.826652202311315,90.28931497274564,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,362157.0016016699,368778.1654778671
92.51885041686347,36.31883927421641,92.16636765264951,2.237019992763052,96.99289040238958,39.67436926336099,94.40338764541256,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,149346.3257549422,152704.71361409553
152.8168792368093,23.402882498642146,7.046718025631511,1.5428822217553968,155.9026436803201,25.71720583127524,8.589600247386908,Stable,Low (Every 5 Years),Regular maintenance of inlets and outlets required.,87071.47052712922,88173.31317749807
262.85345938448665,12.798244403188061,28.41088716657317,4.747421204114568,272.3483017927158,19.919376209359914,33.158308370687735,High Sedimentation,High (Every Year),Increase depth by dredging and use sediment for shore strengthening.,356224.6859336209,388323.91118408216
216.54056430241576,12.039666920198872,80.81392669951308,3.8416683913828282,224.2239010851814,17.802169507273113,84.6555950908959,High Sedimentation,High (Every Year),Increase depth by dredging and use sediment for shore strengthening.,344530.04642651085,361539.1285365602
